location,month,total_cases,new_cases,case_fatality_rate,total_deaths,new_deaths
Afghanistan,02,1.0,1.0,,,
Afghanistan,03,175.0,174.0,0.022988505747126436,4.0,4.0
Afghanistan,04,2127.0,1952.0,0.030737704918032786,64.0,60.0
Afghanistan,05,15208.0,13081.0,0.014830670438039905,258.0,194.0
Afghanistan,06,31507.0,16299.0,0.030308607890054604,752.0,494.0
Afghanistan,07,36665.0,5158.0,0.10314075222954634,1284.0,532.0
Afghanistan,08,38159.0,1494.0,0.07965194109772424,1403.0,119.0
Afghanistan,09,39268.0,1109.0,0.05139765554553652,1460.0,57.0
Afghanistan,10,41425.0,2157.0,0.03616133518776078,1538.0,78.0
Afghanistan,11,46274.0,4849.0,0.0530006186842648,1795.0,257.0
Afghanistan,12,51526.0,5252.0,0.0753998476770754,2191.0,396.0
Africa,02,3.0,3.0,0.0,,0.0
Africa,03,5781.0,5778.0,0.034614053305642094,200.0,200.0
Africa,04,38753.0,32972.0,0.043491447288608515,1634.0,1434.0
Africa,05,146559.0,107806.0,0.0240060850045452,4222.0,2588.0
Africa,06,404901.0,258342.0,0.022930843610407908,10146.0,5924.0
Africa,07,928080.0,523179.0,0.01822703128374801,19682.0,9536.0
Africa,08,1252235.0,324155.0,0.03125048202248924,29812.0,10130.0
Africa,09,1481935.0,229700.0,0.026343056160208968,35863.0,6051.0
Africa,10,1785474.0,303539.0,0.02302834232174449,42853.0,6990.0
Africa,11,2174323.0,388849.0,0.023502696419432735,51992.0,9139.0
Africa,12,2760459.0,586136.0,0.022991251177201195,65468.0,13476.0
Albania,02,,,,,
Albania,03,243.0,243.0,0.06172839506172839,15.0,15.0
Albania,04,773.0,530.0,0.03018867924528302,31.0,16.0
Albania,05,1137.0,364.0,0.005494505494505495,33.0,2.0
Albania,06,2535.0,1398.0,0.02074391988555079,62.0,29.0
Albania,07,5276.0,2741.0,0.03465888361911711,157.0,95.0
Albania,08,9513.0,4237.0,0.029974038234599952,284.0,127.0
Albania,09,13649.0,4136.0,0.024903288201160542,387.0,103.0
Albania,10,20875.0,7226.0,0.0168834763354553,509.0,122.0
Albania,11,38182.0,17307.0,0.017391806783382445,810.0,301.0
Albania,12,58316.0,20134.0,0.018426542167477897,1181.0,371.0
Algeria,02,1.0,1.0,,,
Algeria,03,716.0,715.0,0.06153846153846154,44.0,44.0
Algeria,04,4006.0,3290.0,0.12340425531914893,450.0,406.0
Algeria,05,9394.0,5388.0,0.03767631774313289,653.0,203.0
Algeria,06,13907.0,4513.0,0.0573897629071571,912.0,259.0
Algeria,07,30394.0,16487.0,0.018074846849032572,1210.0,298.0
Algeria,08,44494.0,14100.0,0.02127659574468085,1510.0,300.0
Algeria,09,51530.0,7036.0,0.03212052302444571,1736.0,226.0
Algeria,10,57942.0,6412.0,0.035558328134747345,1964.0,228.0
Algeria,11,83199.0,25257.0,0.018489923585540642,2431.0,467.0
Algeria,12,99610.0,16411.0,0.019803790140759246,2756.0,325.0
Andorra,03,376.0,376.0,0.031914893617021274,12.0,12.0
Andorra,04,745.0,369.0,0.08130081300813008,42.0,30.0
Andorra,05,764.0,19.0,0.47368421052631576,51.0,9.0
Andorra,06,855.0,91.0,0.01098901098901099,52.0,1.0
Andorra,07,925.0,70.0,0.0,52.0,0.0
Andorra,08,1176.0,251.0,0.00398406374501992,53.0,1.0
Andorra,09,2050.0,874.0,0.0,53.0,0.0
Andorra,10,4756.0,2706.0,0.008130081300813009,75.0,22.0
Andorra,11,6745.0,1989.0,0.0005027652086475615,76.0,1.0
Andorra,12,8049.0,1304.0,0.006134969325153374,84.0,8.0
Angola,03,7.0,7.0,0.2857142857142857,2.0,2.0
Angola,04,27.0,20.0,0.0,2.0,0.0
Angola,05,86.0,59.0,0.03389830508474576,4.0,2.0
Angola,06,284.0,198.0,0.045454545454545456,13.0,9.0
Angola,07,1148.0,864.0,0.04513888888888889,52.0,39.0
Angola,08,2654.0,1506.0,0.03718459495351926,108.0,56.0
Angola,09,4972.0,2318.0,0.032355478861087146,183.0,75.0
Angola,10,10805.0,5833.0,0.01731527515858049,284.0,101.0
Angola,11,15139.0,4334.0,0.014766958929395477,348.0,64.0
Angola,12,17553.0,2414.0,0.023612261806130904,405.0,57.0
Antigua and Barbuda,03,7.0,7.0,,,
Antigua and Barbuda,04,24.0,17.0,0.17647058823529413,3.0,3.0
Antigua and Barbuda,05,26.0,2.0,0.0,3.0,0.0
Antigua and Barbuda,06,69.0,43.0,0.0,3.0,0.0
Antigua and Barbuda,07,91.0,22.0,0.0,3.0,0.0
Antigua and Barbuda,08,94.0,3.0,0.0,3.0,0.0
Antigua and Barbuda,09,101.0,7.0,0.0,3.0,0.0
Antigua and Barbuda,10,128.0,27.0,0.0,3.0,0.0
Antigua and Barbuda,11,141.0,13.0,0.07692307692307693,4.0,1.0
Antigua and Barbuda,12,159.0,18.0,0.05555555555555555,5.0,1.0
Argentina,01,,,,,
Argentina,02,,,,,
Argentina,03,1054.0,1054.0,0.025616698292220113,27.0,27.0
Argentina,04,4428.0,3374.0,0.056609365737996444,218.0,191.0
Argentina,05,16851.0,12423.0,0.025839169282781935,539.0,321.0
Argentina,06,64530.0,47679.0,0.01610772038004153,1307.0,768.0
Argentina,07,191302.0,126772.0,0.01763796421922822,3543.0,2236.0
Argentina,08,417735.0,226433.0,0.02259829618474339,8660.0,5117.0
Argentina,09,751001.0,333266.0,0.02483601687540883,16937.0,8277.0
Argentina,10,1166924.0,415923.0,0.03381635543117356,31002.0,14065.0
Argentina,11,1424533.0,257609.0,0.02999895189997244,38730.0,7728.0
Argentina,12,1625514.0,200981.0,0.022464810106427972,43245.0,4515.0
Armenia,03,532.0,532.0,0.005639097744360902,3.0,3.0
Armenia,04,2066.0,1534.0,0.018904823989569754,32.0,29.0
Armenia,05,9282.0,7216.0,0.013719512195121951,131.0,99.0
Armenia,06,25542.0,16260.0,0.01918819188191882,443.0,312.0
Armenia,07,38550.0,13008.0,0.022678351783517837,738.0,295.0
Armenia,08,43781.0,5231.0,0.026954693175301088,879.0,141.0
Armenia,09,50359.0,6578.0,0.012161751292186074,959.0,80.0
Armenia,10,89813.0,39454.0,0.00968216150453693,1341.0,382.0
Armenia,11,135124.0,45311.0,0.018163359890534306,2164.0,823.0
Armenia,12,159409.0,24285.0,0.027136092238007,2823.0,659.0
Asia,01,9889.0,9333.0,0.021000750026786672,213.0,196.0
Asia,02,83720.0,73831.0,0.03644810445476832,2904.0,2691.0
Asia,03,179033.0,95313.0,0.04440107855171907,7136.0,4232.0
Asia,04,520964.0,341931.0,0.03383723616753088,18706.0,11570.0
Asia,05,1138778.0,617814.0,0.019625647848705272,30831.0,12125.0
Asia,06,2305204.0,1166426.0,0.02242062505465413,56983.0,26152.0
Asia,07,4296518.0,1991314.0,0.01995817836865507,96726.0,39743.0
Asia,08,7113877.0,2817359.0,0.01628510956537665,142607.0,45881.0
Asia,09,10668654.0,3554777.0,0.014771672034560817,195117.0,52510.0
Asia,10,13714627.0,3045973.0,0.015827783109042662,243328.0,48211.0
Asia,11,16791288.0,3076661.0,0.015872076904150312,292161.0,48833.0
Asia,12,20695037.0,3080524.0,0.014689384013888546,337412.0,45251.0
Australia,01,9.0,9.0,,,
Australia,02,25.0,16.0,,,
Australia,03,4559.0,4534.0,0.003970004411116012,18.0,18.0
Australia,04,6766.0,2207.0,0.03398278205709107,93.0,75.0
Australia,05,7202.0,436.0,0.022935779816513763,103.0,10.0
Australia,06,7920.0,718.0,0.001392757660167131,104.0,1.0
Australia,07,17280.0,9360.0,0.010363247863247863,201.0,97.0
Australia,08,25819.0,8539.0,0.05340203770933365,657.0,456.0
Australia,09,27096.0,1277.0,0.18089271730618636,888.0,231.0
Australia,10,27595.0,499.0,0.03807615230460922,907.0,19.0
Australia,11,27912.0,317.0,0.0031545741324921135,908.0,1.0
Australia,12,28425.0,513.0,0.001949317738791423,909.0,1.0
Austria,02,9.0,9.0,,,
Austria,03,10180.0,10171.0,0.012584799921345001,128.0,128.0
Austria,04,15452.0,5272.0,0.08649468892261002,584.0,456.0
Austria,05,16731.0,1279.0,0.0656763096168882,668.0,84.0
Austria,06,17766.0,1035.0,0.035748792270531404,705.0,37.0
Austria,07,21130.0,3364.0,0.0038644470868014267,718.0,13.0
Austria,08,27438.0,6308.0,0.0023779327837666455,733.0,15.0
Austria,09,44813.0,17375.0,0.003798561151079137,799.0,66.0
Austria,10,104925.0,60112.0,0.005157040191642268,1109.0,310.0
Austria,11,282456.0,177531.0,0.011688099543178374,3184.0,2075.0
Austria,12,360815.0,78359.0,0.03877027527150678,6222.0,3038.0
Azerbaijan,03,298.0,298.0,0.016778523489932886,5.0,5.0
Azerbaijan,04,1804.0,1506.0,0.012616201859229747,24.0,19.0
Azerbaijan,05,5494.0,3690.0,0.01056910569105691,63.0,39.0
Azerbaijan,06,17524.0,12030.0,0.012468827930174564,213.0,150.0
Azerbaijan,07,31878.0,14354.0,0.01637174306813432,448.0,235.0
Azerbaijan,08,36435.0,4557.0,0.018872064955014263,534.0,86.0
Azerbaijan,09,40229.0,3794.0,0.015023721665788086,591.0,57.0
Azerbaijan,10,55269.0,15040.0,0.009242021276595744,730.0,139.0
Azerbaijan,11,121176.0,65907.0,0.010044456582760557,1392.0,662.0
Azerbaijan,12,218700.0,97524.0,0.01280710389237521,2641.0,1249.0
Bahamas,03,14.0,14.0,,,
Bahamas,04,81.0,67.0,0.16417910447761194,11.0,11.0
Bahamas,05,102.0,21.0,0.0,11.0,0.0
Bahamas,06,104.0,2.0,0.0,11.0,0.0
Bahamas,07,574.0,470.0,0.006382978723404255,14.0,3.0
Bahamas,08,2217.0,1643.0,0.021911138161898967,50.0,36.0
Bahamas,09,4123.0,1906.0,0.024134312696747113,96.0,46.0
Bahamas,10,6714.0,2591.0,0.018525665766113468,144.0,48.0
Bahamas,11,7541.0,827.0,0.022974607013301087,163.0,19.0
Bahamas,12,7871.0,330.0,0.021212121212121213,170.0,7.0
Bahrain,02,41.0,41.0,,,
Bahrain,03,567.0,526.0,0.0076045627376425855,4.0,4.0
Bahrain,04,3040.0,2473.0,0.0016174686615446825,8.0,4.0
Bahrain,05,11398.0,8358.0,0.001316104331179708,19.0,11.0
Bahrain,06,26758.0,15360.0,0.004427083333333333,87.0,68.0
Bahrain,07,40982.0,14224.0,0.00421822272215973,147.0,60.0
Bahrain,08,51972.0,10990.0,0.003912647861692447,190.0,43.0
Bahrain,09,70864.0,18892.0,0.00322887994918484,251.0,61.0
Bahrain,10,81645.0,10781.0,0.006492904183285409,321.0,70.0
